=== Log-Datei: ALLE abgerufenen Put-Optionen (PLTR) ===
Startzeit: 2026-05-04 21:28:33
Format: Zeit | Strike | Verfall | Delta | Open Interest | Last Price

2026-05-04 21:29:02 | Strike: 25.0 | Verfall: 20260515 | Delta: N/A | OI: None | Last: C0.00
2026-05-04 21:29:02 | Strike: 30.0 | Verfall: 20260515 | Delta: N/A | OI: None | Last: C0.00
2026-05-04 21:29:02 | Strike: 35.0 | Verfall: 20260515 | Delta: N/A | OI: None | Last: C0.00
2026-05-04 21:29:02 | Strike: 40.0 | Verfall: 20260515 | Delta: N/A | OI: None | Last: 0.01
2026-05-04 21:29:02 | Strike: 45.0 | Verfall: 20260515 | Delta: N/A | OI: None | Last: 0.01
2026-05-04 21:29:02 | Strike: 50.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: C0.02
2026-05-04 21:29:02 | Strike: 55.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: 0.01
2026-05-04 21:29:02 | Strike: 60.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: C0.03
2026-05-04 21:29:02 | Strike: 65.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: 0.01
2026-05-04 21:29:02 | Strike: 70.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: 0.01
2026-05-04 21:29:02 | Strike: 75.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: 0.02
2026-05-04 21:29:02 | Strike: 80.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: 0.02
2026-05-04 21:29:02 | Strike: 85.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: 0.04
2026-05-04 21:29:02 | Strike: 90.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: 0.04
2026-05-04 21:29:02 | Strike: 95.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: 0.05
2026-05-04 21:29:02 | Strike: 100.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: 0.07
2026-05-04 21:29:02 | Strike: 105.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: 0.08
2026-05-04 21:29:02 | Strike: 106.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: 0.10
2026-05-04 21:29:02 | Strike: 107.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: 0.10
2026-05-04 21:29:02 | Strike: 108.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: 0.11
2026-05-04 21:29:02 | Strike: 109.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: 0.11
2026-05-04 21:29:02 | Strike: 110.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: 0.12
2026-05-04 21:29:02 | Strike: 111.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: 0.14
2026-05-04 21:29:02 | Strike: 112.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: 0.15
