=== Log-Datei: ALLE abgerufenen Put-Optionen (PLTR, verzögerte Daten) ===
Startzeit: 2026-05-04 21:44:26
Format: Zeit | Strike | Verfall | Delta | Open Interest | Last Price

2026-05-04 21:44:56 | Strike: 25.0 | Verfall: 20260515 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 30.0 | Verfall: 20260515 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 35.0 | Verfall: 20260515 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 40.0 | Verfall: 20260515 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 45.0 | Verfall: 20260515 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 50.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 55.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 60.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 65.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 70.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 75.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 80.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 85.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 90.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 95.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 100.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 105.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 106.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 107.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 108.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 109.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 110.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 111.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 112.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 113.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 114.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 115.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 116.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 117.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 118.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 119.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 120.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 121.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 122.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 123.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 124.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 125.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 126.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 127.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 128.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 129.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 130.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 131.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 132.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 133.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 134.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 135.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 136.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 137.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 138.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 139.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 140.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 141.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 142.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 143.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 144.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 145.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 146.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 147.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 148.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 149.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 150.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 152.5 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 155.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 157.5 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 160.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 162.5 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 165.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 167.5 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 170.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 172.5 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 175.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 177.5 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 180.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 182.5 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 185.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 187.5 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 190.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 192.5 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 195.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 197.5 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
2026-05-04 21:44:56 | Strike: 200.0 | Verfall: 20260508 | Delta: N/A | OI: None | Last: None
