symbol,conid,last,bid,ask,timestamp
TREX,6608603,43.51,43.5,300.0,2026-07-30T21:15:48.071070
TREX,6608603,43.44,43.42,600.0,2026-07-30T21:17:32.283415
TREX,6608603,43.45,43.43,400.0,2026-07-30T21:18:36.117939
TREX,6608603,43.58,43.55,400.0,2026-07-30T21:32:44.518963
TREX,6608603,43.51,43.5,100.0,2026-07-30T21:46:24.042681
TREX,6608603,43.44,43.39,100.0,2026-07-31T16:25:57.807619
TREX,6608603,43.36,43.26,600.0,2026-07-31T16:30:40.421920
AAPL,265598,302.59,302.59,40.0,2026-07-31T16:31:36.635906
TREX,6608603,43.03,42.94,700.0,2026-07-31T16:54:04.642383
TREX,6608603,42.97,42.9,1.2,2026-07-31T16:57:32.857402
AAPL,265598,302.37,302.35,80.0,2026-07-31T16:57:54.484253
