timestamp,symbol,conid,last,bid,ask
2026-07-03T18:28:03.647089,CROX,37792836,125.28,117.53,126.05
2026-07-03T18:33:57.592151,CROX,37792836,125.28,117.53,126.05
2026-07-03T18:40:12.987485,CROX,37792836,125.28,117.53,126.05
2026-07-03T18:40:40.579178,TREX,6608603,48.47,47.96,49.1
2026-07-03T21:00:51.134644,TREX,6608603,48.47,47.96,49.1
2026-07-03T21:16:49.538371,TREX,6608603,48.47,47.96,49.1
2026-07-03T21:21:31.043538,TREX,6608603,48.47,47.96,49.1
TREX,6608603,48.47,47.96,49.1,2026-07-03T21:31:56.203772
TREX,6608603,48.47,47.96,49.1,2026-07-03T21:34:42.616485
TREX,6608603,48.47,47.96,49.1,2026-07-03T21:37:35.049210
TREX,6608603,48.47,47.96,49.1,2026-07-03T21:44:09.410276
TREX,6608603,48.47,47.96,49.1,2026-07-03T21:45:47.619108
TREX,6608603,48.47,47.96,49.1,2026-07-03T21:54:17.934582
TREX,6608603,47.43,47.39,47.47,2026-07-06T17:27:33.565459
CROX,37792836,122.58,122.57,122.86,2026-07-06T17:34:52.274093
CROX,37792836,122.32,122.18,122.46,2026-07-06T17:48:04.816670
CROX,37792836,122.69,122.63,122.9,2026-07-06T17:53:01.245724
CROX,37792836,122.8,122.61,122.86,2026-07-06T18:02:49.070956
CROX,37792836,122.72,122.64,122.8,2026-07-06T18:24:23.836478
CROX,37792836,123.83,123.66,123.93,2026-07-06T19:32:00.429664
CROX,37792836,124.12,124.05,124.2,2026-07-06T20:10:38.408086
CROX,37792836,124.12,124.05,124.19,2026-07-06T20:11:32.105245
TREX,6608603,48.1,48.06,48.1,2026-07-06T20:35:05.452582
TREX,6608603,48.14,48.11,48.15,2026-07-06T20:47:10.115923
TREX,6608603,48.13,48.11,48.16,2026-07-06T20:48:02.425790
CROX,37792836,125.04,124.99,125.1,2026-07-06T20:48:37.272511
TREX,6608603,48.16,48.14,48.17,2026-07-06T20:52:39.035984
TREX,6608603,48.11,48.08,48.15,2026-07-06T20:53:26.187482
TREX,6608603,48.11,48.08,48.15,2026-07-06T20:53:40.496197
TREX,6608603,48.12,48.08,48.15,2026-07-06T20:54:08.159479
TREX,6608603,48.09,48.07,48.11,2026-07-06T20:59:59.253626
TREX,6608603,48.09,48.07,48.11,2026-07-06T21:00:10.705517
TREX,6608603,48.15,48.08,48.12,2026-07-06T21:03:02.171323
TREX,6608603,48.11,48.1,48.13,2026-07-06T21:17:57.001304
TREX,6608603,47.96,47.9,47.94,2026-07-06T21:24:56.279055
2026-07-07T17:17:13.005332,TREX,6608603,N/A,N/A,N/A
