conid,symbol,right,month,strike,maturityDate,bid,ask,delta,gamma,theta,vega,volume,open_interest,historical_volatility,implied_volatility
876603671,PLTR,P,JUN26,145.0,20260605,,,,,,,,,,
879026969,PLTR,P,JUN26,145.0,20260612,,,,,,,,,,
759159417,PLTR,P,JUN26,145.0,20260618,,,,,,,,,,
880835074,PLTR,P,JUN26,145.0,20260626,,,,,,,,,,
876603615,PLTR,P,JUN26,144.0,20260605,,,,,,,,,,
879026890,PLTR,P,JUN26,144.0,20260612,,,,,,,,,,
884111018,PLTR,P,JUN26,144.0,20260618,,,,,,,,,,
880835015,PLTR,P,JUN26,144.0,20260626,,,,,,,,,,
876603565,PLTR,P,JUN26,143.0,20260605,,,,,,,,,,
879026804,PLTR,P,JUN26,143.0,20260612,,,,,,,,,,
884110967,PLTR,P,JUN26,143.0,20260618,,,,,,,,,,
880834962,PLTR,P,JUN26,143.0,20260626,,,,,,,,,,
876603504,PLTR,P,JUN26,142.0,20260605,,,,,,,,,,
879026746,PLTR,P,JUN26,142.0,20260612,,,,,,,,,,
884110923,PLTR,P,JUN26,142.0,20260618,,,,,,,,,,
880834897,PLTR,P,JUN26,142.0,20260626,,,,,,,,,,
876603444,PLTR,P,JUN26,141.0,20260605,,,,,,,,,,
879026647,PLTR,P,JUN26,141.0,20260612,,,,,,,,,,
884110878,PLTR,P,JUN26,141.0,20260618,,,,,,,,,,
880834832,PLTR,P,JUN26,141.0,20260626,,,,,,,,,,
876603378,PLTR,P,JUN26,140.0,20260605,,,,,,,,,,
879026592,PLTR,P,JUN26,140.0,20260612,,,,,,,,,,
759159387,PLTR,P,JUN26,140.0,20260618,,,,,,,,,,
880834776,PLTR,P,JUN26,140.0,20260626,,,,,,,,,,
876603321,PLTR,P,JUN26,139.0,20260605,,,,,,,,,,
879026517,PLTR,P,JUN26,139.0,20260612,,,,,,,,,,
884110835,PLTR,P,JUN26,139.0,20260618,,,,,,,,,,
880834716,PLTR,P,JUN26,139.0,20260626,,,,,,,,,,
876603258,PLTR,P,JUN26,138.0,20260605,,,,,,,,,,
879026432,PLTR,P,JUN26,138.0,20260612,,,,,,,,,,
884110794,PLTR,P,JUN26,138.0,20260618,,,,,,,,,,
880834659,PLTR,P,JUN26,138.0,20260626,,,,,,,,,,
876603203,PLTR,P,JUN26,137.0,20260605,,,,,,,,,,
879026367,PLTR,P,JUN26,137.0,20260612,,,,,,,,,,
884110755,PLTR,P,JUN26,137.0,20260618,,,,,,,,,,
880834600,PLTR,P,JUN26,137.0,20260626,,,,,,,,,,
877153253,PLTR,P,JUN26,136.0,20260605,,,,,,,,,,
879026310,PLTR,P,JUN26,136.0,20260612,,,,,,,,,,
884110698,PLTR,P,JUN26,136.0,20260618,,,,,,,,,,
880834549,PLTR,P,JUN26,136.0,20260626,,,,,,,,,,
877153195,PLTR,P,JUN26,135.0,20260605,,,,,,,,,,
879026226,PLTR,P,JUN26,135.0,20260612,,,,,,,,,,
759159352,PLTR,P,JUN26,135.0,20260618,,,,,,,,,,
880834491,PLTR,P,JUN26,135.0,20260626,,,,,,,,,,
877153128,PLTR,P,JUN26,134.0,20260605,,,,,,,,,,
879026133,PLTR,P,JUN26,134.0,20260612,,,,,,,,,,
884110650,PLTR,P,JUN26,134.0,20260618,,,,,,,,,,
880834429,PLTR,P,JUN26,134.0,20260626,,,,,,,,,,
877153062,PLTR,P,JUN26,133.0,20260605,,,,,,,,,,
879026078,PLTR,P,JUN26,133.0,20260612,,,,,,,,,,
884110601,PLTR,P,JUN26,133.0,20260618,,,,,,,,,,
880834361,PLTR,P,JUN26,133.0,20260626,,,,,,,,,,
877153003,PLTR,P,JUN26,132.0,20260605,,,,,,,,,,
879026017,PLTR,P,JUN26,132.0,20260612,,,,,,,,,,
884110559,PLTR,P,JUN26,132.0,20260618,,,,,,,,,,
880834309,PLTR,P,JUN26,132.0,20260626,,,,,,,,,,
877152938,PLTR,P,JUN26,131.0,20260605,,,,,,,,,,
879025942,PLTR,P,JUN26,131.0,20260612,,,,,,,,,,
884110504,PLTR,P,JUN26,131.0,20260618,,,,,,,,,,
880834259,PLTR,P,JUN26,131.0,20260626,,,,,,,,,,
